zipcode,total_rat_sightings,mature_rat_sightings,closed_rat_sightings,median_resolution_days,average_resolution_days,avg_p90_resolution_days,resolved_within_30_days,not_resolved_within_30_days,avg_percent_unresolved_within_30_days,represented_inspections,inspected_restaurants,inspections_with_04k,percent_inspections_with_04k,complaint_percentile,inspection_evidence_percentile,potential_underreporting_score,interpretation
10001,40.0,37.0,37.0,0.0,2.97,4.855,36.0,1.0,3.125,955.0,619.0,12.0,1.26,20.8,23.0,2.2,Datasets broadly similar
10002,215.0,205.0,207.0,0.42,2.64,8.505,202.0,3.0,1.7245000000000061,893.0,518.0,46.0,5.15,68.5,79.2,10.7,Datasets broadly similar
10003,377.0,364.0,370.0,0.75,2.77,7.110499999999999,358.0,6.0,1.6754999999999995,1022.0,622.0,27.0,2.64,86.5,48.9,-37.6,Datasets broadly similar
10004,24.0,24.0,24.0,0.79,11.54,12.465833333333334,20.0,4.0,8.889166666666682,218.0,121.0,5.0,2.29,14.0,39.3,25.3,Moderate potential under-reporting signal
10005,16.0,15.0,14.0,0.0,2.75,3.5,14.0,1.0,8.333333333333314,101.0,52.0,2.0,1.98,9.6,32.0,22.4,Moderate potential under-reporting signal
10006,10.0,10.0,10.0,0.0,1.65,2.3514285714285714,10.0,0.0,0.0,65.0,46.0,0.0,0.0,5.6,0.0,-5.6,Datasets broadly similar
10007,22.0,22.0,21.0,0.0,11.65,17.000833333333336,19.0,3.0,8.333333333333314,265.0,136.0,4.0,1.51,12.4,25.8,13.4,Datasets broadly similar
10009,305.0,284.0,290.0,0.56,2.23,5.4350000000000005,282.0,2.0,0.596500000000006,439.0,283.0,26.0,5.92,81.5,86.5,5.0,Datasets broadly similar
10010,101.0,95.0,98.0,0.69,4.49,10.111052631578948,93.0,2.0,3.5089473684210617,416.0,237.0,9.0,2.16,39.9,37.1,-2.8,Datasets broadly similar
10011,144.0,136.0,135.0,0.54,4.2,12.8945,129.0,7.0,5.2265000000000015,661.0,430.0,7.0,1.06,52.8,19.1,-33.7,Datasets broadly similar
10012,110.0,106.0,107.0,0.92,5.16,9.642631578947368,102.0,4.0,2.20526315789472,698.0,435.0,21.0,3.01,42.1,54.5,12.4,Datasets broadly similar
10013,93.0,90.0,91.0,0.96,3.99,6.1345,89.0,1.0,0.38450000000000273,909.0,476.0,53.0,5.83,36.5,84.8,48.3,High potential under-reporting signal
10014,139.0,130.0,131.0,0.75,5.38,9.080000000000002,120.0,10.0,5.152500000000003,637.0,406.0,17.0,2.67,51.7,50.0,-1.7,Datasets broadly similar
10016,130.0,121.0,124.0,0.0,5.11,13.1,116.0,5.0,5.298000000000002,647.0,390.0,15.0,2.32,48.3,40.4,-7.9,Datasets broadly similar
10017,25.0,23.0,23.0,0.0,2.74,3.365,22.0,1.0,7.692307692307693,544.0,332.0,3.0,0.55,15.7,16.3,0.6,Datasets broadly similar
10018,44.0,44.0,43.0,0.0,4.06,9.855624999999998,42.0,2.0,9.375,693.0,428.0,5.0,0.72,23.6,16.9,-6.7,Datasets broadly similar
10019,154.0,144.0,146.0,0.13,3.79,9.037,137.0,7.0,4.721999999999994,941.0,592.0,23.0,2.44,55.6,44.9,-10.7,Datasets broadly similar
10020,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,58.0,40.0,0.0,0.0,1.7,0.0,-1.7,Datasets broadly similar
10021,133.0,128.0,128.0,0.0,3.31,6.833499999999999,127.0,1.0,0.3569999999999993,284.0,163.0,3.0,1.06,49.4,19.1,-30.3,Datasets broadly similar
10022,121.0,116.0,117.0,0.0,3.67,12.18736842105263,113.0,3.0,6.541578947368421,650.0,419.0,12.0,1.85,44.4,30.9,-13.5,Datasets broadly similar
