zipcode,month,total_rat_sightings,mature_rat_sightings,resolved_within_30_days,not_resolved_within_30_days,percent_resolved_within_30_days,median_resolution_days,average_resolution_days,p90_resolution_days,represented_inspections,inspected_restaurants,inspections_with_04k,percent_inspections_with_04k
10001,2025-01-01T00:00:00.000Z,2,2,2,0,100.00,0.0,0.00,0.00,39,39,1,2.56
10001,2025-02-01T00:00:00.000Z,2,2,2,0,100.00,1.19,1.19,1.42,17,15,1,5.88
10001,2025-03-01T00:00:00.000Z,1,1,1,0,100.00,0.0,0.00,0.00,30,29,0,0.00
10001,2025-04-01T00:00:00.000Z,2,2,2,0,100.00,0.0,0.00,0.00,47,46,0,0.00
10001,2025-05-01T00:00:00.000Z,2,2,2,0,100.00,0.0,0.00,0.00,43,40,0,0.00
10001,2025-06-01T00:00:00.000Z,2,2,2,0,100.00,0.0,0.00,0.00,45,45,0,0.00
10001,2025-07-01T00:00:00.000Z,3,3,3,0,100.00,0.0,0.00,0.00,55,55,1,1.82
10001,2025-08-01T00:00:00.000Z,2,2,2,0,100.00,0.19,0.19,0.38,49,48,1,2.04
10001,2025-09-01T00:00:00.000Z,8,8,8,0,100.00,0.0,0.30,1.88,61,61,0,0.00
10001,2025-10-01T00:00:00.000Z,1,1,1,0,100.00,0.0,0.00,0.00,49,47,4,8.16
10001,2025-11-01T00:00:00.000Z,1,1,1,0,100.00,0.0,0.00,0.00,45,45,2,4.44
10001,2025-12-01T00:00:00.000Z,null,null,null,null,null,null,null,null,71,70,0,0.00
10001,2026-01-01T00:00:00.000Z,null,null,null,null,null,null,null,null,34,34,0,0.00
10001,2026-02-01T00:00:00.000Z,2,2,2,0,100.00,0.0,0.00,0.00,30,30,0,0.00
10001,2026-03-01T00:00:00.000Z,3,3,3,0,100.00,0.0,0.65,1.96,44,43,0,0.00
10001,2026-04-01T00:00:00.000Z,3,3,3,0,100.00,0.83,7.19,20.75,72,70,1,1.39
10001,2026-05-01T00:00:00.000Z,1,1,1,0,100.00,13.04,13.04,13.04,35,35,0,0.00
10001,2026-06-01T00:00:00.000Z,null,null,null,null,null,null,null,null,29,27,0,0.00
10001,2026-07-01T00:00:00.000Z,2,2,1,1,50.00,34.02,34.02,38.25,62,61,0,0.00
10001,2026-08-01T00:00:00.000Z,2,0,0,0,null,null,null,null,71,70,1,1.41
10001,2026-09-01T00:00:00.000Z,1,0,0,0,null,null,null,null,27,26,0,0.00
10002,2025-01-01T00:00:00.000Z,10,10,10,0,100.00,0.17,0.83,2.50,41,41,3,7.32
10002,2025-02-01T00:00:00.000Z,7,7,6,1,85.71,0.54,12.12,54.13,23,23,1,4.35
10002,2025-03-01T00:00:00.000Z,10,10,10,0,100.00,0.17,2.00,2.38,34,34,6,17.65
10002,2025-04-01T00:00:00.000Z,6,6,6,0,100.00,0.0,0.44,2.67,49,49,3,6.12
10002,2025-05-01T00:00:00.000Z,19,19,19,0,100.00,0.33,1.50,7.29,68,67,4,5.88
10002,2025-06-01T00:00:00.000Z,22,22,22,0,100.00,0.1,0.49,1.29,34,33,0,0.00
10002,2025-07-01T00:00:00.000Z,8,8,8,0,100.00,0.0,0.34,1.54,38,37,2,5.26
10002,2025-08-01T00:00:00.000Z,5,5,5,0,100.00,0.0,0.02,0.08,49,48,3,6.12
10002,2025-09-01T00:00:00.000Z,10,10,10,0,100.00,0.0,0.56,2.46,52,48,4,7.69
10002,2025-10-01T00:00:00.000Z,8,8,8,0,100.00,0.48,0.39,0.92,41,39,3,7.32
10002,2025-11-01T00:00:00.000Z,5,5,5,0,100.00,0.0,1.14,3.96,46,45,1,2.17
10002,2025-12-01T00:00:00.000Z,9,9,9,0,100.00,0.42,1.01,4.88,33,33,1,3.03
10002,2026-01-01T00:00:00.000Z,25,25,25,0,100.00,0.29,0.53,1.04,24,24,0,0.00
10002,2026-02-01T00:00:00.000Z,3,3,3,0,100.00,0.0,0.65,1.96,35,35,2,5.71
10002,2026-03-01T00:00:00.000Z,9,9,9,0,100.00,0.29,0.51,2.25,44,43,1,2.27
10002,2026-04-01T00:00:00.000Z,11,11,11,0,100.00,0.0,3.11,10.79,39,37,2,5.13
10002,2026-05-01T00:00:00.000Z,13,13,13,0,100.00,6.08,6.46,16.04,43,42,1,2.33
10002,2026-06-01T00:00:00.000Z,9,9,8,1,88.89,4.27,4.86,10.79,57,57,2,3.51
10002,2026-07-01T00:00:00.000Z,11,11,10,1,90.91,6.85,8.50,17.21,62,56,3,4.84
10002,2026-08-01T00:00:00.000Z,10,5,5,0,100.00,22.0,18.41,25.92,57,52,4,7.02
10002,2026-09-01T00:00:00.000Z,5,0,0,0,null,null,null,null,24,24,0,0.00
10003,2025-01-01T00:00:00.000Z,7,7,7,0,100.00,0.0,0.28,1.42,42,40,1,2.38
10003,2025-02-01T00:00:00.000Z,7,7,7,0,100.00,0.0,0.24,0.63,36,36,2,5.56
10003,2025-03-01T00:00:00.000Z,10,10,10,0,100.00,0.0,0.45,0.67,43,40,3,6.98
10003,2025-04-01T00:00:00.000Z,9,9,9,0,100.00,0.0,0.18,0.88,51,51,1,1.96
10003,2025-05-01T00:00:00.000Z,19,19,19,0,100.00,0.0,1.55,6.63,57,55,0,0.00
10003,2025-06-01T00:00:00.000Z,19,19,19,0,100.00,0.29,1.26,5.50,30,30,0,0.00
10003,2025-07-01T00:00:00.000Z,18,18,18,0,100.00,0.06,1.95,7.21,51,51,0,0.00
10003,2025-08-01T00:00:00.000Z,12,12,11,1,91.67,0.04,3.69,0.88,44,43,1,2.27
10003,2025-09-01T00:00:00.000Z,22,22,22,0,100.00,0.0,0.50,2.21,50,50,1,2.00
10003,2025-10-01T00:00:00.000Z,20,20,20,0,100.00,0.0,0.73,3.17,43,43,0,0.00
10003,2025-11-01T00:00:00.000Z,9,9,9,0,100.00,0.0,1.45,6.75,61,60,2,3.28
10003,2025-12-01T00:00:00.000Z,25,25,25,0,100.00,0.0,1.07,2.92,57,57,2,3.51
