incident_zip,closed_rat_sightings,median_resolution_days,average_resolution_days
11001,1,23.08,23.08
11430,2,13.73,13.73
10308,74,4.04,7.38
11239,22,3.38,4.60
11216,689,3.33,10.49
11427,10,3,12.88
10475,14,2.96,4.35
11229,136,2.88,8.33
10038,50,2.83,5.21
11103,653,2.83,7.43
11209,372,2.38,9.28
11106,206,2.02,9.03
11109,6,2,1.60
10280,4,1.85,3.96
11205,403,1.83,5.97
10471,131,1.21,5.67
11225,486,1.15,4.42
10024,473,1.13,4.11
11210,200,1.08,5.54
11233,696,1.04,5.65
11238,637,1,7.66
10034,218,0.96,3.46
10013,91,0.96,3.99
10012,107,0.92,5.16
11428,22,0.85,5.95
10069,12,0.83,3.24
10040,159,0.83,3.73
10032,323,0.83,3.22
10004,24,0.79,11.54
11221,680,0.75,4.64
11374,210,0.75,7.98
10003,370,0.75,2.77
11415,29,0.75,9.29
10014,131,0.75,5.38
11414,28,0.73,3.95
10010,98,0.69,4.49
10027,590,0.67,3.06
10029,341,0.63,4.68
11213,439,0.63,4.15
10026,434,0.63,2.10
10031,457,0.63,2.37
11237,298,0.6,3.53
10033,252,0.6,4.10
10025,645,0.58,3.49
10473,111,0.58,3.03
10452,957,0.58,1.59
11232,146,0.56,6.81
11230,390,0.56,6.44
10009,290,0.56,2.23
10039,233,0.54,3.21
10030,353,0.54,4.88
11226,704,0.54,4.38
11218,467,0.54,5.50
10011,135,0.54,4.20
11105,284,0.48,5.18
10463,336,0.46,4.57
10002,207,0.42,2.64
10035,182,0.42,2.58
10468,280,0.38,3.19
10028,342,0.38,3.13
10453,250,0.31,3.78
10037,119,0.25,2.25
10466,177,0.25,2.76
11694,37,0.21,12.03
11104,150,0.19,7.14
11206,407,0.17,5.21
11411,23,0.13,5.34
10019,146,0.13,3.79
11249,127,0.04,4.66
11367,107,0.04,9.56
11201,185,0.04,4.52
11217,236,0.04,2.47
11215,516,0.02,2.91
10312,130,0.02,5.24
11416,38,0,11.13
11214,181,0,5.20
10470,59,0,3.04
10458,282,0,2.95
11223,138,0,4.79
11373,98,0,3.17
11204,171,0,3.61
10305,81,0,7.14
11385,527,0,2.75
11212,169,0,3.89
11219,182,0,5.41
11236,96,0,4.06
11369,115,0,4.96
11362,12,0,4.22
11691,62,0,1.47
11231,249,0,3.07
11355,58,0,2.14
11224,87,0,3.11
10007,21,0,11.65
11361,31,0,6.78
11220,270,0,5.13
10303,62,0,3.40
11357,52,0,5.64
11234,160,0,2.92
10474,63,0,1.99
10310,86,0,5.46
11413,47,0,6.00
11436,37,0,11.95
10301,71,0,5.15
10065,70,0,2.39
11372,145,0,7.00
11426,24,0,5.53
11423,17,0,14.38
10457,216,0,2.91
11377,230,0,5.61
11375,176,0,6.23
10314,123,0,3.75
11366,26,0,6.93
10462,269,0,2.57
10044,1,0,0.00
11422,12,0,3.63
10154,1,0,0.00
10017,23,0,2.74
11364,18,0,10.60
10105,1,0,0.00
11363,5,0,0.00
12345,1,0,0.00
10307,6,0,3.01
11004,11,0,6.00
11102,145,0,6.10
11421,39,0,1.04
11433,74,0,4.65
11418,31,0,6.85
10005,14,0,2.75
10155,1,0,0.00
10020,1,0,0.00
11040,4,0,3.00
10461,118,0,2.95
10309,41,0,5.05
11432,153,0,4.20
10036,108,0,3.75
11693,18,0,2.48
11417,58,0,4.36
11235,222,0,4.99
11360,13,0,8.45
11370,64,0,2.95
11211,383,0,3.47
11203,242,0,5.66
10016,124,0,5.11
11358,85,0,15.48
11356,21,0,8.46
10464,1,0,0.00
11412,38,0,3.79
10021,128,0,3.31
10469,154,0,2.60
11378,125,0,5.07
11228,88,0,4.66
10023,272,0,3.70
11419,73,0,2.09
10018,43,0,4.06
10022,117,0,3.67
11208,160,0,3.45
10472,209,0,2.31
11692,9,0,4.27
11365,30,0,4.69
10302,53,0,4.20
11434,69,0,4.38
11354,75,0,3.36
10306,107,0,6.18
10467,440,0,2.77
10460,221,0,2.52
10456,253,0,2.02
10128,380,0,2.70
10455,204,0,3.00
11379,148,0,2.77
10304,92,0,3.74
11222,305,0,3.61
11435,91,0,3.84
11101,178,0,7.51
10459,174,0,2.68
10075,135,0,3.08
10465,62,0,2.00
11207,290,0,3.05
11429,16,0,3.57
10454,133,0,3.03
11368,188,0,6.94
11420,47,0,4.64
10006,10,0,1.65
11697,1,0,0.00
10451,159,0,2.02
10001,37,0,2.97
10282,2,0,0.00
10178,1,0,0.00
