zipcode,total_rat_sightings,represented_inspections,inspected_restaurants,inspections_with_04k,percent_inspections_with_04k,complaint_percentile,inspection_evidence_percentile,potential_underreporting_score,interpretation
10474,64,64,32,6,9.38,29.6,98.3,68.7,High potential under-reporting signal
11362,12,92,55,4,4.35,7.8,72.6,64.8,High potential under-reporting signal
10470,60,85,40,5,5.88,26.8,86,59.2,High potential under-reporting signal
11366,30,86,49,4,4.65,17.9,74.9,57,High potential under-reporting signal
11420,49,133,74,7,5.26,25.1,81.6,56.4,High potential under-reporting signal
10037,121,53,26,6,11.32,44.7,99.4,54.7,High potential under-reporting signal
11418,35,138,80,6,4.35,20.7,72.6,52,High potential under-reporting signal
11435,106,226,105,15,6.64,41.9,91.6,49.7,High potential under-reporting signal
10013,93,909,476,53,5.83,36.9,85.5,48.6,High potential under-reporting signal
11355,66,415,189,21,5.06,30.2,78.2,48,High potential under-reporting signal
10464,1,40,32,1,2.50,1.7,46.4,44.7,High potential under-reporting signal
11228,101,103,58,6,5.83,40.2,84.9,44.7,High potential under-reporting signal
11365,31,91,56,3,3.30,18.4,60.3,41.9,High potential under-reporting signal
11419,80,213,99,10,4.69,34.6,75.4,40.8,High potential under-reporting signal
11693,20,37,28,1,2.70,11.2,50.8,39.7,Moderate potential under-reporting signal
10454,137,159,80,10,6.29,51.4,89.4,38,Moderate potential under-reporting signal
11412,44,90,40,3,3.33,24,62,38,Moderate potential under-reporting signal
11430,2,134,88,3,2.24,3.4,38.5,35.2,Moderate potential under-reporting signal
10466,180,158,77,12,7.59,62,96.6,34.6,Moderate potential under-reporting signal
11370,70,28,17,1,3.57,31.8,65.9,34.1,Moderate potential under-reporting signal
10307,9,44,26,1,2.27,5.6,39.1,33.5,Moderate potential under-reporting signal
11354,83,956,476,38,3.97,35.8,68.7,33,Moderate potential under-reporting signal
11432,171,431,174,29,6.73,60.9,92.7,31.8,Moderate potential under-reporting signal
10065,75,255,163,9,3.53,33,64.2,31.3,Moderate potential under-reporting signal
10040,166,138,78,9,6.52,59.8,91.1,31.3,Moderate potential under-reporting signal
10459,180,135,75,9,6.67,62,92.2,30.2,Moderate potential under-reporting signal
