zip_code,state,county,city,population,population_density,median_household_income,average_household_income,median_age,poverty_rate,unemployment_rate,land_area_sq_mi,geoid
06390,New York,Suffolk,Southold,72.0,17.8,98125.0,101833.0,46.6,0.0,0.075,4.0466669958,860Z200US06390
10001,New York,New York,New York,30511.0,48893.8,129852.0,226529.0,35.8,0.106,0.057,0.6240229281,860Z200US10001
10002,New York,,,76873.0,,,,,,,,
10003,New York,,,53560.0,,,,,,,,
10004,New York,,,3711.0,,,,,,,,
10005,New York,,,9439.0,,,,,,,,
10006,New York,,,4096.0,,,,,,,,
10007,New York,,,7406.0,,,,,,,,
10009,New York,,,60209.0,,,,,,,,
10010,New York,,,30702.0,,,,,,,,
10011,New York,,,48277.0,,,,,,,,
10012,New York,,,21426.0,,,,,,,,
10013,New York,,,27219.0,,,,,,,,
10014,New York,,,29230.0,,,,,,,,
10016,New York,,,52971.0,,,,,,,,
10017,New York,,,15297.0,,,,,,,,
10018,New York,,,8559.0,,,,,,,,
10019,New York,,,44942.0,,,,,,,,
10020,New York,,,0.0,,,,,,,,
10021,New York,,,39868.0,,,,,,,,
10022,New York,,,34049.0,,,,,,,,
10023,New York,,,69455.0,,,,,,,,
10024,New York,,,63115.0,,,,,,,,
10025,New York,,,93065.0,,,,,,,,
10026,New York,,,37123.0,,,,,,,,
10027,New York,,,63885.0,,,,,,,,
10028,New York,,,49077.0,,,,,,,,
10029,New York,,,77447.0,,,,,,,,
10030,New York,,,29297.0,,,,,,,,
10031,New York,,,61058.0,,,,,,,,
10032,New York,,,55610.0,,,,,,,,
10033,New York,,,54838.0,,,,,,,,
10034,New York,,,37758.0,,,,,,,,
10035,New York,,,38862.0,,,,,,,,
10036,New York,,,31036.0,,,,,,,,
10037,New York,,,19031.0,,,,,,,,
10038,New York,,,22235.0,,,,,,,,
10039,New York,,,32492.0,,,,,,,,
10040,New York,,,40096.0,,,,,,,,
10044,New York,,,11520.0,,,,,,,,
10065,New York,,,30808.0,,,,,,,,
10069,New York,,,6509.0,,,,,,,,
10075,New York,,,21897.0,,,,,,,,
10103,New York,,,0.0,,,,,,,,
10110,New York,,,0.0,,,,,,,,
10111,New York,,,0.0,,,,,,,,
10112,New York,,,0.0,,,,,,,,
10115,New York,,,0.0,,,,,,,,
10119,New York,,,0.0,,,,,,,,
10128,New York,,,57976.0,,,,,,,,
10152,New York,,,7.0,,,,,,,,
10153,New York,,,0.0,,,,,,,,
10154,New York,,,0.0,,,,,,,,
10162,New York,,,1603.0,,,,,,,,
10165,New York,,,0.0,,,,,,,,
10167,New York,,,0.0,,,,,,,,
10168,New York,,,0.0,,,,,,,,
10169,New York,,,0.0,,,,,,,,
10170,New York,,,0.0,,,,,,,,
10171,New York,,,0.0,,,,,,,,
10172,New York,,,0.0,,,,,,,,
10173,New York,,,0.0,,,,,,,,
10174,New York,,,0.0,,,,,,,,
10177,New York,,,0.0,,,,,,,,
10199,New York,,,0.0,,,,,,,,
10271,New York,,,0.0,,,,,,,,
10278,New York,,,0.0,,,,,,,,
10279,New York,,,259.0,,,,,,,,
10280,New York,,,8933.0,,,,,,,,
10282,New York,,,5887.0,,,,,,,,
10301,New York,,,41052.0,,,,,,,,
10302,New York,,,19030.0,,,,,,,,
10303,New York,,,26497.0,,,,,,,,
10304,New York,,,45658.0,,,,,,,,
10305,New York,,,41270.0,,,,,,,,
10306,New York,,,57428.0,,,,,,,,
10307,New York,,,15512.0,,,,,,,,
10308,New York,,,30568.0,,,,,,,,
10309,New York,,,34885.0,,,,,,,,
10310,New York,,,25672.0,,,,,,,,
10311,New York,,,0.0,,,,,,,,
10312,New York,,,63469.0,,,,,,,,
10314,New York,,,93915.0,,,,,,,,
10451,New York,,,50942.0,,,,,,,,
10452,New York,,,75682.0,,,,,,,,
10453,New York,,,76282.0,,,,,,,,
10454,New York,,,39570.0,,,,,,,,
10455,New York,,,44801.0,,,,,,,,
10456,New York,,,87533.0,,,,,,,,
10457,New York,,,79543.0,,,,,,,,
10458,New York,,,74898.0,,,,,,,,
10459,New York,,,48270.0,,,,,,,,
10460,New York,,,59396.0,,,,,,,,
10461,New York,,,52012.0,,,,,,,,
10462,New York,,,76320.0,,,,,,,,
10463,New York,,,69470.0,,,,,,,,
10464,New York,,,3828.0,,,,,,,,
10465,New York,,,45404.0,,,,,,,,
10466,New York,,,71116.0,,,,,,,,
10467,New York,,,96421.0,,,,,,,,
10468,New York,,,75557.0,,,,,,,,
10469,New York,,,68521.0,,,,,,,,
10470,New York,,,16004.0,,,,,,,,
10471,New York,,,23798.0,,,,,,,,
10472,New York,,,64011.0,,,,,,,,
10473,New York,,,58855.0,,,,,,,,
10474,New York,,,11270.0,,,,,,,,
10475,New York,,,42578.0,,,,,,,,
10501,New York,,,1727.0,,,,,,,,
10502,New York,,,6197.0,,,,,,,,
10503,New York,,,132.0,,,,,,,,
10504,New York,,,7665.0,,,,,,,,
10505,New York,,,1119.0,,,,,,,,
10506,New York,,,6244.0,,,,,,,,
10507,New York,,,6109.0,,,,,,,,
10509,New York,,,20046.0,,,,,,,,
10510,New York,,,10226.0,,,,,,,,
10511,New York,,,2397.0,,,,,,,,
10512,New York,,,24234.0,,,,,,,,
10514,New York,,,11790.0,,,,,,,,
10516,New York,,,5362.0,,,,,,,,
10517,New York,,,584.0,,,,,,,,
10518,New York,,,992.0,,,,,,,,
10519,New York,,,99.0,,,,,,,,
10520,New York,,,12368.0,,,,,,,,
10522,New York,,,11502.0,,,,,,,,
10523,New York,,,9450.0,,,,,,,,
10524,New York,,,4578.0,,,,,,,,
10526,New York,,,2128.0,,,,,,,,
10527,New York,,,418.0,,,,,,,,
10528,New York,,,14091.0,,,,,,,,
10530,New York,,,13892.0,,,,,,,,
10532,New York,,,5347.0,,,,,,,,
10533,New York,,,7362.0,,,,,,,,
10535,New York,,,392.0,,,,,,,,
10536,New York,,,10669.0,,,,,,,,
10537,New York,,,2439.0,,,,,,,,
10538,New York,,,17760.0,,,,,,,,
10540,New York,,,108.0,,,,,,,,
